,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,2
73,2
74,3
75,3
76,3
77,4
78,5
79,5
80,5
81,6
82,6
83,6
84,8
85,8
86,8
87,10
88,10
89,12
90,12
91,14
92,14
93,15
94,16
95,17
96,18
97,18
98,18
99,19
100,19
101,19
102,19
103,19
104,19
105,20
106,20
107,20
108,20
109,20
110,20
111,21
112,21
113,22
114,22
115,22
116,22
117,22
118,22
119,22
120,22
121,22
122,23
123,23
124,23
125,23
126,23
127,23
128,23
129,23
130,23
131,23
132,23
133,23
134,23
135,23
136,23
137,24
138,24
139,24
140,24
141,24
142,24
143,24
144,24
145,24
146,24
147,24
148,24
149,24
150,24
151,24
152,24
153,24
154,24
155,24
156,24
157,24
158,24
159,24
160,24
161,24
162,24
163,24
164,24
165,24
166,24
167,24
168,24
169,24
170,24
171,24
172,24
173,24
174,24
175,24
176,24
177,24
178,24
179,24
180,24
181,24
182,24
183,24
184,24
185,24
186,24
187,24
188,24
189,24
190,24
191,24
192,24
193,24
194,24
195,24
196,24
197,24
198,24
199,24
200,24
201,24
202,24
203,24
204,24
205,24
206,24
207,24
208,24
209,24
210,24
211,24
212,24
213,24
214,24
215,24
216,24
217,24
218,24
219,24
220,25
221,26
222,26
223,26
224,26
225,26
226,26
227,26
228,26
229,27
230,27
231,27
232,27
233,27
234,27
235,27
236,27
237,27
238,27
