,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,1.0
72,1.0
73,1.0
74,1.0
75,2.0
76,7.0
77,8.0
78,9.0
79,12.0
80,15.0
81,17.0
82,17.0
83,20.0
84,27.0
85,31.0
86,38.0
87,45.0
88,50.0
89,53.0
90,58.0
91,64.0
92,72.0
93,75.0
94,77.0
95,81.0
96,84.0
97,80.0
98,85.0
99,91.0
100,96.0
101,98.0
102,102.0
103,101.0
104,93.0
105,85.0
106,88.0
107,89.0
108,86.0
109,80.0
110,79.0
111,79.0
112,71.0
113,67.0
114,54.0
115,50.0
116,49.0
117,47.0
118,36.0
119,34.0
120,28.0
121,28.0
122,25.0
123,20.0
124,19.0
125,20.0
126,17.0
127,15.0
128,15.0
129,14.0
130,13.0
131,13.0
132,12.0
133,12.0
134,13.0
135,11.0
136,9.0
137,7.0
138,7.0
139,9.0
140,11.0
141,11.0
142,9.0
143,9.0
144,9.0
145,11.0
146,12.0
147,13.0
148,13.0
149,13.0
150,14.0
151,13.0
152,13.0
153,12.0
154,12.0
155,13.0
156,12.0
157,11.0
158,8.0
159,7.0
160,7.0
161,5.0
162,4.0
163,3.0
164,2.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,1.0
233,2.0
234,2.0
235,2.0
236,4.0
237,4.0
238,4.0
