,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
154,,1,0,1
155,0,,0,0
156,3,,0,3
157,0,,0,0
158,0,,0,0
159,0,,0,0
160,4,,0,4
161,3,,0,3
162,0,,0,0
163,,1,0,1
164,0,,0,0
165,0,,0,0
166,0,,0,0
167,,0,0,0
168,,1,0,1
169,1,,0,1
170,,1,0,1
171,0,,0,0
172,0,,0,0
173,0,,0,0
174,0,,0,0
175,0,,0,0
176,0,,0,0
177,2,,0,2
178,1,,0,1
179,,1,0,1
180,3,,0,3
181,0,,0,0
182,0,,0,0
183,0,,0,0
184,0,,0,0
185,0,,0,0
186,0,,0,0
187,0,,0,0
188,0,,0,0
189,0,,0,0
190,4,,0,4
191,0,,0,0
192,0,,0,0
193,0,,0,0
194,0,,0,0
195,0,,0,0
196,0,,0,0
197,0,,0,0
198,0,,0,0
199,1,,0,1
200,0,,0,0
201,1,,0,1
202,0,,0,0
203,0,,0,0
204,0,,0,0
205,,0,0,0
206,1,,0,1
207,2,,0,2
208,0,,0,0
209,1,,0,1
210,,0,0,0
211,0,,0,0
212,0,,0,0
213,0,,0,0
214,0,,0,0
215,0,,0,0
216,0,,0,0
217,0,,0,0
218,,3,0,3
219,,2,0,2
220,0,,0,0
221,0,,0,0
222,0,,0,0
223,0,,0,0
224,1,,0,1
225,0,,0,0
226,0,,0,0
227,0,,0,0
228,0,,0,0
229,4,,0,4
230,1,,0,1
231,1,,0,1
232,0,,0,0
233,0,,0,0
234,,1,0,1
235,4,,0,4
236,0,,0,0
237,0,,0,0
238,0,,0,0
239,0,,0,0
240,0,,0,0
241,0,,0,0
242,0,,0,0
243,4,,0,4
244,0,,0,0
245,0,,0,0
246,,0,0,0
247,0,,0,0
248,0,,0,0
249,1,,0,1
250,0,,0,0
251,0,,0,0
252,0,,0,0
253,1,,0,1
254,0,,0,0
255,0,,0,0
256,0,,0,0
257,0,,0,0
258,,1,0,1
259,,0,0,0
260,0,,0,0
261,0,,0,0
262,0,,0,0
263,0,,0,0
264,0,,0,0
265,,0,0,0
266,0,,0,0
267,0,,0,0
268,,1,0,1
269,0,,0,0
270,0,,0,0
271,1,,0,1
272,1,,0,1
273,2,,0,2
274,0,,0,0
275,0,,0,0
276,0,,0,0
277,0,,0,0
278,,0,0,0
279,0,,0,0
280,0,,0,0
281,0,,0,0
282,0,,0,0
283,0,,0,0
284,0,,0,0
285,0,,0,0
286,0,,0,0
287,0,,0,0
288,,1,0,1
289,0,,0,0
290,0,,0,0
291,0,,0,0
292,0,,0,0
293,,0,0,0
294,0,,0,0
295,0,,0,0
296,0,,0,0
297,,0,0,0
298,1,,0,1
299,3,,0,3
300,5,,0,5
301,0,,0,0
302,0,,0,0
303,0,,0,0
304,0,,0,0
305,0,,0,0
306,0,,0,0
307,0,,0,0
308,,0,0,0
309,0,,0,0
310,0,,0,0
311,0,,0,0
312,1,,0,1
313,,0,0,0
314,0,,0,0
315,,2,0,2
316,,0,0,0
317,0,,0,0
318,3,,0,3
319,0,,0,0
320,,0,0,0
321,0,,0,0
322,0,,0,0
323,0,,0,0
324,0,,0,0
325,0,,0,0
326,0,,0,0
327,0,,0,0
328,0,,0,0
329,2,,0,2
330,0,,0,0
331,0,,0,0
332,0,,0,0
333,0,,0,0
334,1,,0,1
335,0,,0,0
336,0,,0,0
337,0,,0,0
338,0,,0,0
339,0,,0,0
340,0,,0,0
341,0,,0,0
342,0,,0,0
343,0,,0,0
344,0,,0,0
345,0,,0,0
346,0,,0,0
