,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
179,0,,0,0
180,0,,0,0
181,0,,0,0
182,2,,0,2
183,0,,0,0
184,0,,0,0
185,1,,0,1
186,0,,0,0
187,0,,0,0
188,0,,0,0
189,0,,0,0
190,0,,0,0
191,0,,0,0
192,2,,0,2
193,1,,0,1
194,1,,0,1
195,3,,0,3
196,0,,0,0
197,0,,0,0
198,,2,0,2
199,0,,0,0
200,0,,0,0
201,1,,0,1
202,0,,0,0
203,0,,0,0
204,0,,0,0
205,0,,0,0
206,0,,0,0
207,0,,0,0
208,1,,0,1
209,0,,0,0
210,0,,0,0
211,0,,0,0
212,0,,0,0
213,0,,0,0
214,0,,0,0
215,,0,0,0
216,0,,0,0
217,0,,0,0
218,2,,0,2
219,0,,0,0
220,0,,0,0
221,0,,0,0
222,0,,0,0
223,0,,0,0
224,0,,0,0
225,0,,0,0
226,0,,0,0
227,0,,0,0
228,0,,0,0
229,0,,0,0
230,0,,0,0
231,0,,0,0
232,3,,0,3
233,0,,0,0
234,0,,0,0
235,0,,0,0
236,0,,0,0
237,0,,0,0
238,0,,0,0
239,0,,0,0
240,0,,0,0
241,0,,0,0
242,0,,0,0
243,0,,0,0
244,0,,0,0
245,0,,0,0
246,0,,0,0
247,0,,0,0
248,0,,0,0
249,0,,0,0
250,0,,0,0
251,0,,0,0
252,0,,0,0
253,0,,0,0
254,0,,0,0
255,3,,0,3
256,0,,0,0
257,0,,0,0
258,0,,0,0
259,0,,0,0
260,4,,0,4
261,0,,0,0
262,0,,0,0
263,0,,0,0
264,0,,0,0
265,0,,0,0
266,0,,0,0
267,0,,0,0
268,0,,0,0
269,0,,0,0
270,1,,0,1
271,0,,0,0
272,0,,0,0
273,0,,0,0
274,0,,0,0
275,,0,0,0
276,0,,0,0
277,0,,0,0
278,1,,0,1
279,0,,0,0
280,,1,0,1
281,2,,0,2
282,0,,0,0
283,2,,0,2
284,0,,0,0
285,,0,0,0
286,0,,0,0
287,0,,0,0
288,1,,0,1
289,,0,0,0
290,0,,0,0
291,1,,0,1
292,4,,0,4
293,0,,0,0
294,1,,0,1
295,1,,0,1
296,0,,0,0
297,0,,0,0
298,,0,0,0
299,2,,0,2
300,0,,0,0
301,1,,0,1
302,1,,0,1
303,0,,0,0
304,,0,0,0
305,0,,0,0
306,0,,0,0
307,,0,0,0
308,0,,0,0
309,2,,0,2
310,0,,0,0
311,,0,0,0
312,0,,0,0
313,0,,0,0
314,1,,0,1
315,0,,0,0
316,0,,0,0
317,2,,0,2
318,0,,0,0
319,0,,0,0
320,0,,0,0
321,2,,0,2
322,0,,0,0
323,0,,0,0
324,0,,0,0
325,0,,0,0
326,0,,0,0
327,0,,0,0
328,0,,0,0
329,1,,0,1
330,0,,0,0
