,SUSCEPTIBLE,EXPOSED,MILD,MODERATE,SEVERE,RECOVERED,ASYMPTOMATIC
0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
1,226.0,0.0,0.0,0.0,0.0,0.0,0.0
2,219.0,0.0,0.0,0.0,0.0,0.0,0.0
3,221.0,0.0,0.0,0.0,0.0,0.0,0.0
4,226.0,0.0,0.0,0.0,0.0,0.0,0.0
5,241.0,0.0,0.0,0.0,0.0,0.0,0.0
6,244.0,0.0,0.0,0.0,0.0,0.0,0.0
7,232.0,0.0,0.0,0.0,0.0,0.0,0.0
8,229.0,0.0,0.0,0.0,0.0,0.0,0.0
9,231.0,0.0,0.0,0.0,0.0,0.0,0.0
10,230.0,0.0,0.0,0.0,0.0,0.0,0.0
11,244.0,0.0,0.0,0.0,0.0,0.0,0.0
12,230.0,0.0,0.0,0.0,0.0,0.0,0.0
13,209.0,0.0,0.0,0.0,0.0,0.0,0.0
14,215.0,0.0,0.0,0.0,0.0,0.0,0.0
15,222.0,0.0,0.0,0.0,0.0,0.0,0.0
16,218.0,0.0,0.0,0.0,0.0,0.0,0.0
17,235.0,0.0,0.0,0.0,0.0,0.0,0.0
18,226.0,0.0,0.0,0.0,0.0,0.0,0.0
19,222.0,0.0,0.0,0.0,0.0,0.0,0.0
20,213.0,0.0,0.0,0.0,0.0,0.0,0.0
21,221.0,0.0,0.0,0.0,0.0,0.0,0.0
22,214.0,0.0,0.0,0.0,0.0,0.0,0.0
23,211.0,0.0,0.0,0.0,0.0,0.0,0.0
24,216.0,0.0,0.0,0.0,0.0,0.0,0.0
25,213.0,0.0,0.0,0.0,0.0,0.0,0.0
26,210.0,0.0,0.0,0.0,0.0,0.0,0.0
27,226.0,0.0,0.0,0.0,0.0,0.0,0.0
28,229.0,0.0,0.0,0.0,0.0,0.0,0.0
29,229.0,0.0,0.0,0.0,0.0,0.0,0.0
30,235.0,0.0,0.0,0.0,0.0,0.0,0.0
31,249.0,0.0,0.0,0.0,0.0,0.0,0.0
32,255.0,0.0,0.0,0.0,0.0,0.0,0.0
33,258.0,0.0,0.0,0.0,0.0,0.0,0.0
34,262.0,0.0,0.0,0.0,0.0,0.0,0.0
35,253.0,0.0,0.0,0.0,0.0,0.0,0.0
36,243.0,0.0,0.0,0.0,0.0,0.0,0.0
37,235.0,0.0,0.0,0.0,0.0,0.0,0.0
38,223.0,0.0,0.0,0.0,0.0,0.0,0.0
39,212.0,0.0,0.0,0.0,0.0,0.0,0.0
40,219.0,0.0,0.0,0.0,0.0,0.0,0.0
41,232.0,0.0,0.0,0.0,0.0,0.0,0.0
42,235.0,0.0,0.0,0.0,0.0,0.0,0.0
43,242.0,0.0,0.0,0.0,0.0,0.0,0.0
44,252.0,0.0,0.0,0.0,0.0,0.0,0.0
45,231.0,0.0,0.0,0.0,0.0,0.0,0.0
46,217.0,0.0,0.0,0.0,0.0,0.0,0.0
47,220.0,0.0,0.0,0.0,0.0,0.0,0.0
48,239.0,0.0,0.0,0.0,0.0,0.0,0.0
49,231.0,0.0,0.0,0.0,0.0,0.0,0.0
50,236.0,0.0,0.0,0.0,0.0,0.0,0.0
51,234.0,0.0,0.0,0.0,0.0,0.0,0.0
52,243.0,0.0,0.0,0.0,0.0,0.0,0.0
53,232.0,0.0,0.0,0.0,0.0,0.0,0.0
54,227.0,0.0,0.0,0.0,0.0,0.0,0.0
55,222.0,0.0,0.0,0.0,0.0,0.0,0.0
56,219.0,0.0,0.0,0.0,0.0,0.0,0.0
57,245.0,0.0,0.0,0.0,0.0,0.0,0.0
58,252.0,0.0,0.0,0.0,0.0,0.0,0.0
59,241.0,0.0,0.0,0.0,1.0,0.0,0.0
60,238.0,0.0,0.0,0.0,1.0,0.0,0.0
61,257.0,0.0,0.0,0.0,1.0,0.0,0.0
62,250.0,0.0,0.0,0.0,1.0,0.0,0.0
63,243.0,0.0,0.0,0.0,1.0,0.0,0.0
64,234.0,0.0,0.0,0.0,1.0,0.0,0.0
65,228.0,0.0,0.0,0.0,1.0,0.0,0.0
66,225.0,0.0,0.0,0.0,1.0,0.0,1.0
67,222.0,0.0,0.0,0.0,1.0,0.0,1.0
68,228.0,0.0,0.0,0.0,1.0,0.0,1.0
69,232.0,2.0,0.0,0.0,1.0,0.0,0.0
70,227.0,2.0,0.0,0.0,1.0,0.0,0.0
71,233.0,3.0,0.0,0.0,1.0,0.0,0.0
72,225.0,2.0,0.0,0.0,1.0,0.0,1.0
73,217.0,2.0,0.0,0.0,1.0,0.0,1.0
74,222.0,4.0,0.0,0.0,1.0,0.0,0.0
75,228.0,5.0,0.0,0.0,1.0,0.0,1.0
76,238.0,6.0,0.0,0.0,1.0,0.0,1.0
77,240.0,7.0,3.0,0.0,3.0,0.0,0.0
78,245.0,9.0,3.0,0.0,4.0,0.0,0.0
79,246.0,9.0,5.0,0.0,7.0,0.0,1.0
80,240.0,11.0,9.0,0.0,8.0,0.0,3.0
81,245.0,7.0,6.0,0.0,11.0,0.0,2.0
82,243.0,9.0,9.0,0.0,13.0,0.0,0.0
83,234.0,10.0,14.0,0.0,15.0,0.0,0.0
84,244.0,10.0,14.0,0.0,17.0,0.0,1.0
85,230.0,9.0,15.0,0.0,19.0,0.0,2.0
86,238.0,10.0,17.0,0.0,20.0,3.0,2.0
87,247.0,8.0,19.0,0.0,25.0,3.0,2.0
88,247.0,9.0,19.0,0.0,28.0,3.0,2.0
89,237.0,12.0,23.0,0.0,35.0,4.0,2.0
90,227.0,9.0,24.0,0.0,37.0,5.0,4.0
91,224.0,13.0,25.0,0.0,42.0,4.0,6.0
92,223.0,13.0,25.0,0.0,49.0,5.0,7.0
93,216.0,10.0,28.0,0.0,48.0,5.0,6.0
94,209.0,10.0,28.0,0.0,52.0,8.0,5.0
95,196.0,11.0,25.0,0.0,53.0,8.0,6.0
96,200.0,13.0,21.0,0.0,51.0,9.0,4.0
97,202.0,12.0,17.0,0.0,52.0,10.0,3.0
98,210.0,9.0,14.0,0.0,50.0,9.0,1.0
99,224.0,5.0,16.0,0.0,54.0,10.0,0.0
100,216.0,5.0,11.0,0.0,55.0,16.0,0.0
101,219.0,6.0,11.0,0.0,53.0,15.0,1.0
102,203.0,8.0,10.0,0.0,52.0,9.0,1.0
103,204.0,7.0,10.0,0.0,51.0,8.0,1.0
104,206.0,4.0,9.0,0.0,55.0,7.0,1.0
105,200.0,4.0,9.0,0.0,53.0,6.0,1.0
106,207.0,0.0,9.0,0.0,53.0,7.0,0.0
107,227.0,2.0,10.0,0.0,49.0,9.0,0.0
108,239.0,2.0,8.0,0.0,49.0,8.0,0.0
109,248.0,2.0,6.0,0.0,47.0,8.0,0.0
110,261.0,5.0,2.0,0.0,46.0,9.0,1.0
111,243.0,3.0,5.0,0.0,45.0,9.0,1.0
112,233.0,5.0,4.0,0.0,42.0,8.0,0.0
113,229.0,6.0,5.0,0.0,39.0,5.0,0.0
114,223.0,5.0,5.0,0.0,37.0,5.0,2.0
115,232.0,2.0,4.0,0.0,32.0,6.0,2.0
116,241.0,2.0,4.0,0.0,27.0,6.0,1.0
117,235.0,1.0,5.0,0.0,26.0,6.0,1.0
118,241.0,4.0,6.0,0.0,22.0,9.0,1.0
119,237.0,2.0,5.0,0.0,22.0,10.0,1.0
